ID,Species,DO,Weight,Length,AmbVent,HypVent,Hct,Lactate,SOD,HIF
8C1,Speckled sanddab,8,5.02,7.75,79.33333333,NA,25,1424.832215,7.51960135,69.02777778
8C2,Speckled sanddab,8,5.97,7.8,73,NA,27,3338.255034,4.146420428,30.12820513
8C3,Speckled sanddab,8,5.51,7.4,68,NA,45,3574.157303,7.375832059,32.07264957
8C4,Speckled sanddab,8,7.83,8.23,60.33333333,57.33333333,31,4093.959732,5.588543176,50.47008547
8C5,Speckled sanddab,8,3.68,6.68,60.33333333,58,39,3381.879195,6.74098789,72.09401709
8C6,Speckled sanddab,8,4.52,6.93,58.33333333,57,37,3587.919463,7.042789533,69.47649573
8C7,Speckled sanddab,8,3.08,6.06,60,57,38,3463.982103,6.296768136,72.08559373
8C8,Speckled sanddab,8,4.21,6.59,59,63,33,5002.013423,6.20621755,67.91742013
6C1,Speckled sanddab,6,10.39,9.33,37.66666667,57.66666667,43,2406.040268,8.899820393,67.89933695
6C2,Speckled sanddab,6,4.36,6.74,36.33333333,56.66666667,49,4186.577181,6.833873336,65.62989753
6C3,Speckled sanddab,6,3.83,6.6,32.33333333,62,38,3797.315436,6.850453064,42.76069922
6C4,Speckled sanddab,6,3.03,5.92,35.66666667,65.33333333,45,4166.666667,5.625825893,85.73839662
6C5,Speckled sanddab,6,2.66,6.19,32,60,42,4126.845638,4.430833944,75.83785413
6C6,Speckled sanddab,6,4.52,6.83,30.66666667,63.66666667,39,4090.604027,5.503593864,94.05063291
6C7,Speckled sanddab,6,1.68,4.78,32.66666667,58.33333333,45,3409.395973,5.51112076,78.03496082
6C8,Speckled sanddab,6,3.17,6.22,34.66666667,65.33333333,27,3949.66443,5.3058145,67.7456299
4C1,Speckled sanddab,4,8.23,8.69,41,72,38,3491.946309,6.991723917,78.36045811
4C2,Speckled sanddab,4,8.51,8.47,42.33333333,73.66666667,41,3506.741573,6.833873336,75.29535865
4C3,Speckled sanddab,4,5.35,7.53,44.33333333,77.66666667,34,4248.993289,6.613859021,76.43459916
4C4,Speckled sanddab,4,8.66,8.3,38.33333333,74.33333333,30,3799.328859,8.420252469,64.97890295
4C5,Speckled sanddab,4,6.84,8.1,31.33333333,65.33333333,40,4104.494382,9.108987446,71.54309825
4C6,Speckled sanddab,4,8.32,8.45,30.66666667,68,32,4768.456376,8.156019246,75.39481615
4C7,Speckled sanddab,4,2.61,5.78,36.33333333,76,35,4014.09396,6.258500381,77.42013261
4C8,Speckled sanddab,4,7.14,7.84,38.66666667,73.66666667,34,5546.308725,6.71142832,35.83484027
3C1,Speckled sanddab,3,3.55,6.59,NA,80.33333333,45,4889.932886,8.701152039,39.01748041
3C2,Speckled sanddab,3,4.11,7.33,41.66666667,73.33333333,49,4203.355705,6.959716054,77.07655214
3C3,Speckled sanddab,3,4.41,7.85,46.33333333,71.66666667,41,3404.697987,4.922735359,36.61241712
3C4,Speckled sanddab,3,4.29,6.83,44.33333333,67.66666667,39,3914.09396,6.778360742,68.42374925
3C5,Speckled sanddab,3,5.31,7.45,49,66,49,4549.66443,6.927929288,35.6901748
3C6,Speckled sanddab,3,5.87,7.97,49,78.33333333,38,5209.395973,6.518397719,71.24472574
3C7,Speckled sanddab,3,6.42,7.75,43.33333333,73,45,4110.738255,7.38227793,33.64677517
3C8,Speckled sanddab,3,8.54,8.47,45,73.33333333,34,3571.14094,5.120724849,69.45936639
2C1,Speckled sanddab,2,8.8,8.08,47.66666667,67.33333333,33,5053.020134,5.550500355,69.72796143
2C2,Speckled sanddab,2,4.8,6.91,51.66666667,69.66666667,41,4860.402685,7.701865884,73.90151515
2C3,Speckled sanddab,2,5.3,6.82,49,66.66666667,33,3896.644295,7.184078599,75.00688705
2C4,Speckled sanddab,2,5.4,7.16,49,67.66666667,41,5018.120805,NA,68.58126722
2C5,Speckled sanddab,2,9.8,8.94,47.33333333,70.66666667,42,5378.52349,4.869224545,72.54820937
2C6,Speckled sanddab,2,7.9,8.37,46.33333333,70,41,5063.087248,7.217667603,68.7362259
2C7,Speckled sanddab,2,2.6,5.92,46.33333333,65.66666667,34,4116.778523,7.269637372,60.77134986
2C8,Speckled sanddab,2,5.8,7.59,50.66666667,65,41,5498.314607,7.398587029,42.86501377
1.5C1,Speckled sanddab,1.5,4.58,6.87,52,60.66666667,48,4232.885906,7.804691409,40.81955923
1.5C2,Speckled sanddab,1.5,2.92,6.15,53.33333333,63.66666667,40,3463.483146,6.751874168,96.9214876
1.5C3,Speckled sanddab,1.5,2.47,5.81,44,68.33333333,37,4263.483146,6.506850193,95.18595041
1.5C4,Speckled sanddab,1.5,6.77,8.26,47.66666667,66.33333333,45,5220.786517,6.61188999,56.20867769
1.5C5,Speckled sanddab,1.5,1.56,5.21,47.33333333,67.33333333,35,3906.179775,6.545461191,97.7892562
1.5C6,Speckled sanddab,1.5,6.33,7.95,53,70,39,3265.730337,5.342544995,66.84573003
1.5C7,Speckled sanddab,1.5,5.88,7.25,43.66666667,87,40,2838.202247,5.575721298,42.72038567
1.5C8,Speckled sanddab,1.5,5.78,7.82,47.33333333,66,38,4713.483146,4.603767067,87.68595041
