Site,TimeStamp,DO_mgL
Azevedo Pond,5/1/21 0:00,NA
Azevedo Pond,5/1/21 0:15,NA
Azevedo Pond,5/1/21 0:30,NA
Azevedo Pond,5/1/21 0:45,NA
Azevedo Pond,5/1/21 1:00,NA
Azevedo Pond,5/1/21 1:15,NA
Azevedo Pond,5/1/21 1:30,NA
Azevedo Pond,5/1/21 1:45,NA
Azevedo Pond,5/1/21 2:00,NA
Azevedo Pond,5/1/21 2:15,NA
Azevedo Pond,5/1/21 2:30,NA
Azevedo Pond,5/1/21 2:45,NA
Azevedo Pond,5/1/21 3:00,NA
Azevedo Pond,5/1/21 3:15,NA
Azevedo Pond,5/1/21 3:30,NA
Azevedo Pond,5/1/21 3:45,NA
Azevedo Pond,5/1/21 4:00,NA
Azevedo Pond,5/1/21 4:15,NA
Azevedo Pond,5/1/21 4:30,NA
Azevedo Pond,5/1/21 4:45,NA
Azevedo Pond,5/1/21 5:00,NA
Azevedo Pond,5/1/21 5:15,NA
Azevedo Pond,5/1/21 5:30,NA
Azevedo Pond,5/1/21 5:45,NA
Azevedo Pond,5/1/21 6:00,NA
Azevedo Pond,5/1/21 6:15,NA
Azevedo Pond,5/1/21 6:30,NA
Azevedo Pond,5/1/21 6:45,NA
Azevedo Pond,5/1/21 7:00,NA
Azevedo Pond,5/1/21 7:15,NA
Azevedo Pond,5/1/21 7:30,NA
Azevedo Pond,5/1/21 7:45,NA
Azevedo Pond,5/1/21 8:00,NA
Azevedo Pond,5/1/21 8:15,NA
Azevedo Pond,5/1/21 8:30,NA
Azevedo Pond,5/1/21 8:45,NA
Azevedo Pond,5/1/21 9:00,NA
Azevedo Pond,5/1/21 9:15,NA
Azevedo Pond,5/1/21 9:30,7.7
Azevedo Pond,5/1/21 9:45,6.5
Azevedo Pond,5/1/21 10:00,6
Azevedo Pond,5/1/21 10:15,4.9
Azevedo Pond,5/1/21 10:30,3.2
Azevedo Pond,5/1/21 10:45,2.5
Azevedo Pond,5/1/21 11:00,2.4
Azevedo Pond,5/1/21 11:15,2.5
Azevedo Pond,5/1/21 11:30,2.4
Azevedo Pond,5/1/21 11:45,2.9
Azevedo Pond,5/1/21 12:00,3.1
Azevedo Pond,5/1/21 12:15,3.3
Azevedo Pond,5/1/21 12:30,3.8
Azevedo Pond,5/1/21 12:45,3.5
Azevedo Pond,5/1/21 13:00,3.2
Azevedo Pond,5/1/21 13:15,3.2
Azevedo Pond,5/1/21 13:30,3.2
Azevedo Pond,5/1/21 13:45,5.2
Azevedo Pond,5/1/21 14:00,4.8
Azevedo Pond,5/1/21 14:15,5.3
Azevedo Pond,5/1/21 14:30,5.1
Azevedo Pond,5/1/21 14:45,5.6
Azevedo Pond,5/1/21 15:00,6.6
