ID,DO_mgL,AmbMMR,AmbSMR,HypMMR,HypSMR
8P9,8,220.51,NA,NA,NA
8P10,8,208.08,93.68,157.16,130.08
8P11,8,161.87,110.6,163.27,123.7
8P12,8,200.56,97.7,114.75,69.6667
8P13,8,410.13,223.78,573.8,210.25
8P14,8,187.24,343.36,324.4,291.02
8P15,8,308.23,267.5,530.16,218.82
8P16,8,196.66,259.46,347.9,147.92
6P9,6,328.27,227.9,225.49,234
6P10,6,225.66,254.46,423.47,245.16
6P11,6,306.14,233.1,177.78,107.96
6P12,6,318.91,288.925,377.05,245.86
6P13,6,NA,126.68,78.3,115.98
6P14,6,425.23,259.38,367.16,242.12
6P15,6,360.99,205.98,379.64,227
6P16,6,561.17,236.1,367.12,262.8
4P9,4,250.49,135.65,188.34,120.14
4P10,4,267.29,250.46,458.6,315.3
4P11,4,241.5,324.18,127.2,122.9
4P12,4,286.22,285.2,394.93,198.38
4P13,4,202.7,NA,NA,NA
4P14,4,443.76,471.76,386,403.9
4P15,4,460.75,344.1,270.35,321.54
4P16,4,324.37,214.5,308.99,215.86
3P9,3,411.42,150,170.39,126.9
3P10,3,368.65,182.6,226.09,195.9
3P11,3,382.05,171.5,NA,124.5
3P12,3,281.34,157,224.19,NA
3P13,3,91.96,NA,NA,NA
3P14,3,317.04,491.08,461.8,418.4
3P15,3,279.43,229.4,236.25,171.18
3P16,3,412.93,371.38,316.96,262.76
2P9,2,493.22,270.9,298.93,171.54
2P10,2,385.75,134.9,141.17,NA
2P11,2,256.23,104.35,124.56,82.86
2P12,2,456.38,157.12,108.2,68.02
2P13,2,NA,169.125,180.33,144.92
2P14,2,592.8,996.5,653.98,664.02
2P15,2,254.68,246.54,201.57,175.04
2P16,2,246.29,310.74,131.37,144.04
1.5P9,1.5,758.46,254.05,148.06,164.56
1.5P10,1.5,335.05,499.08,230.5,247.72
1.5P11,1.5,345.83,215.54,205.61,192.12
1.5P12,1.5,457.76,295.46,331.33,255.26
1.5P13,1.5,927.35,285.8,209.63,182.58
1.5P14,1.5,567.1,456.12,219.78,237.26
1.5P15,1.5,NA,222.76,180.26,143.44
1.5P16,1.5,571.7,282.1,175.41,124.48
