ID,Species,DO,Weight,Length,AmbVent,HypVent,Hct,Lactate,SOD,HIF
8P1,English sole,8,1.46,6.02,58.66666667,59.33333333,36,1607.342144,2.061645735,84.30683919
8P2,English sole,8,1.73,6.22,54,57.66666667,38,707.2687225,1.618518013,46.23536661
8P3,English sole,8,2.02,6.76,56,60.33333333,27,640.2349486,1.084927476,88.96487985
8P4,English sole,8,1.98,7.12,54.33333333,56.33333333,22,707.7092511,1.420378666,NA
8P5,English sole,8,3.17,7.61,55.66666667,62.33333333,29,555.6179775,1.397685041,NA
8P6,English sole,8,1.78,6.72,NA,NA,NA,NA,NA,NA
8P7,English sole,8,2.27,6.82,51,59,31,741.4096916,1.383557042,48.69685767
8P8,English sole,8,3.36,8.03,NA,NA,30,1124.522761,1.939674447,66.20455946
6P1,English sole,6,3.86,7.65,51.66666667,56.33333333,22,1290.30837,1.912609763,41.07825015
6P2,English sole,6,1.62,6.15,54.66666667,57.33333333,30,659.3245228,1.098594873,39.95070857
6P3,English sole,6,2.28,6.98,46.33333333,71.66666667,30,336.5168539,1.585534803,61.15834874
6P4,English sole,6,1.65,5.95,54.66666667,57.33333333,25,1299.779736,1.648361009,72.86814541
6P5,English sole,6,3.05,7.89,58.66666667,59,28,896.2555066,1.782932298,73.00677757
6P6,English sole,6,2.85,7.17,45.66666667,60,26,646.0674157,1.790662059,41.68823167
6P7,English sole,6,3.21,8.1,46,60.5,27,894.5668135,2.142253172,76.98089957
6P8,English sole,6,3.52,8.8,48.33333333,62,21,1345.814978,1.869411364,NA
4P1,English sole,4,2.6,6.81,67,66.33333333,25,1177.753304,1.866127661,37.38139248
4P2,English sole,4,1.88,6.36,55.33333333,65,29,888.2022472,1.274108697,53.44423906
4P3,English sole,4,3.8,8.15,53.33333333,68,32,1211.674009,1.183686072,NA
4P4,English sole,4,3.8,8.15,54,61.33333333,24,1648.237885,1.875995415,68.80160197
4P5,English sole,4,3.14,6.95,53,61.66666667,24,1651.101322,2.424862711,64.01417129
4P6,English sole,4,2.05,5.91,55.66666667,61.66666667,23,2665.168539,2.037102648,43.59211337
4P7,English sole,4,1.61,5.78,55.33333333,59.66666667,24,1140.381791,1.709226659,76.14294516
4P8,English sole,4,4.57,8.05,56,63,19,903.5242291,1.736359839,77.96056685
3P1,English sole,3,3.77,8.29,49.33333333,52,27,884.8751836,1.812297841,47.50462107
3P2,English sole,3,2.6,7.28,48.33333333,56.33333333,28,586.0499266,1.37641902,47.56623537
3P3,English sole,3,3.62,8.14,49.33333333,68.33333333,30,1039.427313,1.580393222,48.56438694
3P4,English sole,3,2.12,7.01,39.66666667,63.66666667,26,1197.650514,2.245054541,38.91558842
3P5,English sole,3,2.35,6.93,47,56.33333333,25,1006.60793,2.812567792,66.8482906
3P6,English sole,3,1.57,6.24,50,56,28,1292.657856,1.426226292,79.43376068
3P7,English sole,3,1.7,6.34,50,55.66666667,27,820.1342282,2.287137374,77.70299145
3P8,English sole,3,1.56,6.26,55.66666667,56.66666667,25,675.1677852,1.931381829,66.21794872
2P1,English sole,2,1.38,6.25,51.66666667,77,29,461.0738255,1.309995707,52.77777778
2P2,English sole,2,1.39,5.79,49,54,31,787.6957494,0.888057262,75.76923077
2P3,English sole,2,2.11,6.83,49.33333333,58,29,996.9798658,1.677881172,142.3931624
2P4,English sole,2,1.6,6.24,46.33333333,66.66666667,27,786.5771812,1.250950517,36.88034188
2P5,English sole,2,1.94,6.81,53.66666667,60.66666667,30,1117.673378,1.432022728,78.78205128
2P6,English sole,2,1.71,6.35,42.66666667,63.66666667,26,1238.255034,1.417303427,54.4017094
2P7,English sole,2,2.54,7.45,39.66666667,62,NA,980.5369128,1.978823851,98.33333333
2P8,English sole,2,3.18,7.65,42.33333333,65.66666667,NA,677.1812081,1.898000577,95.98290598
1.5P1,English sole,1.5,3.43,8.31,63.33333333,74.33333333,30,908.9485459,1.571356677,36.77350427
1.5P2,English sole,1.5,5.02,8.66,79.33333333,NA,NA,NA,NA,NA
1.5P3,English sole,1.5,3.99,8.25,71.33333333,93,24,2558.988764,2.243481973,76.48504274
1.5P4,English sole,1.5,1.18,5.38,63.33333333,69.33333333,26,2216.778523,1.912433562,NA
1.5P5,English sole,1.5,1.94,6.52,48.66666667,80.33333333,29,1608.389262,1.796951082,61.75213675
1.5P6,English sole,1.5,2.53,6.61,49,68.66666667,22,1834.899329,1.953937325,73.05555556
1.5P7,English sole,1.5,3.29,7.63,52.66666667,68.66666667,27,2040.044743,2.842801588,40.61965812
1.5P8,English sole,1.5,1.44,5.55,56.66666667,77.66666667,21,1690.604027,2.360043339,28.8034188
